Id,log_price,log_total_sf,has_2nd,has_bsmt,has_garage,has_pool,has_central_air,has_fireplace,house_age,remod_age,total_porch_sf,OverallQual,OverallCond,GarageCars,LotFrontage,year_price,neighbor_weight,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Utilities_NoSeWa,Utilities_None,PoolQC_Fa,PoolQC_Gd,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_None,Functional_Sev,Functional_Typ,GarageQual_Fa,GarageQual_Gd,GarageQual_Po,GarageQual_TA,GarageCond_Fa,GarageCond_Gd,GarageCond_Po,GarageCond_TA
1,12.247694320220994,7.850103545175582,1,1,1,0,1,0,5,5,61,7,5,2.0,65.0,227387.36366847827,0.39247717220266787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,12.109010932687042,7.8336002236611035,0,1,1,0,1,1,31,31,0,6,8,2.0,80.0,166794.83143939395,0.9229606353397185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,12.31716669303576,7.903226808730733,1,1,1,0,1,1,7,6,42,7,5,2.0,68.0,223657.90593236714,0.39247717220266787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
4,11.84939770159144,7.813187267521416,1,1,1,0,1,1,91,36,307,7,5,3.0,60.0,124018.55714285714,0.5188801602152809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,12.429216196844383,8.114623886420098,1,1,1,0,1,1,8,8,84,8,5,3.0,84.0,222266.19037681157,1.8979943294491743,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
6,11.870599909242044,7.67693714581808,1,1,1,0,1,0,16,14,350,5,5,2.0,85.0,226535.57667169432,-0.28245569972752177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,12.634603026569334,8.125630988477065,0,1,1,0,1,1,3,2,57,8,5,2.0,75.0,229216.45322071706,0.7828563712623556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
8,12.206072645530174,8.069968149059841,1,1,1,0,1,1,36,36,432,7,6,2.0,0.0,150821.75395256915,0.2954145274116249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9,11.77452020265869,7.9105906122564775,1,1,1,0,1,1,77,58,205,7,5,2.0,51.0,167472.8111111111,-0.958532470213485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
10,11.678439903447801,7.63433723562832,0,1,1,0,1,1,69,58,4,5,6,1.0,50.0,128966.22888888889,-1.0294588048578504,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
